Title,Rating,Price,Pages,Genre,Reviews,Review_Density,Price_Bucket,Popularity_Score,Success_Category
History of Ancient India,4.0,319,418,History,1,0.002,Budget,2.84,Low
India's Ancient Book of Prophecy,3.1,178,62,Politics,1990,32.097,Budget,4.67,Low
India's foreign policy since independence,5.0,334,247,Fiction,1,0.004,Budget,3.49,Low
Tales and legends from India,4.5,256,154,Poetry,2,0.013,Budget,3.31,Low
Classical dances and costumes of India,3.5,426,96,Classic,915,9.531,Mid-range,4.66,Low
Alberuni's India,3.3,1237,817,Politics,939,1.149,Premium,4.54,Low
Game India,5.0,741,294,Self-Help,1,0.003,Mid-range,3.49,Low
The Cat in the Hat,4.1,720,63,Science,106,1.683,Mid-range,4.3,Low
India after independence,4.5,1084,549,History,2,0.004,Premium,3.31,Low
Discover India,4.7,1398,64,Religion,2054,32.094,Premium,5.72,High
The U.P. land records manual,3.4,1143,410,Religion,1572,3.834,Premium,4.79,Low
The Story of Islamic Imperialism in India,5.0,1332,132,History,1720,13.03,Premium,5.86,High
The Hidden Oracle,4.5,705,384,History,58,0.151,Mid-range,4.35,Low
Light on life,5.0,963,438,Religion,1,0.002,Premium,3.49,Low
Forgotten Girl,5.0,848,256,Religion,2,0.008,Mid-range,3.63,Low
Unveiling India,3.7,1283,126,Religion,2080,16.508,Premium,5.08,Medium
India's China war,3.0,1014,475,Fiction,1,0.002,Premium,2.19,Low
Lily's garden of India,3.0,998,33,Science,1,0.03,Premium,2.19,Low
An Era of Darkness,4.0,1097,360,History,3,0.008,Premium,3.09,Low
Wild Wisdom Quiz Book,4.0,959,400,Fiction,1,0.002,Premium,2.84,Low
"Tribes and Castes of the Central Provinces of India, Book I",3.4,672,452,Classic,1745,3.861,Mid-range,4.82,Medium
"Tribes and Castes of the Central Provinces of India, Book III",4.6,137,590,Poetry,2407,4.08,Budget,5.72,High
Social Movements in India,4.3,217,435,Biography,1917,4.407,Budget,5.44,Medium
Mockingjay,3.8,489,424,Science,259,0.611,Mid-range,4.42,Low
Secret Service of Tea and Treason,4.0,779,500,Biography,1819,3.638,Mid-range,5.23,Medium
The Light of Asia,4.7,476,200,Poetry,9,0.045,Mid-range,3.86,Low
India's Nuclear Bomb,4.1,948,632,Self-Help,331,0.524,Premium,4.7,Low
Madhur Jaffrey's flavors of India,5.0,475,320,Fiction,1,0.003,Mid-range,3.49,Low
"The Code of Civil Procedure, 1908",4.4,694,388,Politics,1147,2.956,Mid-range,5.33,Medium
Imagining India,3.5,846,511,Biography,358,0.701,Mid-range,4.33,Low
Magic bus,5.0,1165,292,Politics,2367,8.106,Premium,5.97,High
Crime and punishment in ancient India,4.9,557,538,Politics,378,0.703,Mid-range,5.26,Medium
The Great Partition,3.0,1253,251,History,1,0.004,Premium,2.19,Low
Seasons of Splendor,4.3,1151,128,Religion,2236,17.469,Premium,5.49,Medium
India Britannica,3.4,840,239,Politics,1192,4.987,Mid-range,4.69,Low
Os Lusíadas,4.6,728,383,Poetry,5,0.013,Mid-range,3.62,Low
Mother India,4.4,425,454,History,787,1.733,Mid-range,5.19,Medium
Quantum computation and quantum information,5.0,718,676,Science,1,0.001,Mid-range,3.49,Low
Butter chicken in Ludhiana,4.5,424,298,History,2,0.007,Mid-range,3.31,Low
Made in India,3.1,1283,320,Poetry,2109,6.591,Premium,4.69,Low
The monkey and the crocodile,5.0,615,32,History,2,0.062,Mid-range,3.63,Low
An Uncertain Glory,3.1,845,445,Politics,221,0.497,Mid-range,3.91,Low
The Oxford Book of Gothic Tales,4.0,1377,533,Religion,1,0.002,Premium,2.84,Low
The case that shook India,3.5,347,315,Fiction,1712,5.435,Budget,4.88,Medium
"Hindu Marriage Act, 1955",3.9,1476,407,Religion,483,1.187,Premium,4.7,Low
Favorite fairy tales told in India,5.0,497,96,History,1,0.01,Mid-range,3.49,Low
The Constitution of India,4.7,681,389,Politics,468,1.203,Mid-range,5.21,Medium
On a Shoestring to Coorg,4.5,302,261,Poetry,932,3.571,Budget,5.32,Medium
Postbox Kashmir,4.5,1425,208,Science,817,3.928,Premium,5.27,Medium
Quite Nice and Fairly Accurate Good Omens Script Book,4.8,1271,512,Philosophy,4,0.008,Premium,3.68,Low
The economics of development and planning,3.9,320,602,Poetry,813,1.35,Budget,4.88,Medium
"Modern India, 1885-1947",3.7,966,488,History,456,0.934,Premium,4.55,Low
Jawaharlal Nehru,3.7,362,618,Politics,1936,3.133,Budget,5.05,Medium
Eating India,5.0,395,304,Biography,1793,5.898,Budget,5.87,High
Buddhist thought in India,3.1,1438,302,Religion,550,1.821,Premium,4.22,Low
The transposed heads,5.0,1119,143,Fiction,1,0.007,Premium,3.49,Low
The book of M,3.0,391,485,Fiction,3,0.006,Budget,2.44,Low
India's love lyrics,4.7,783,172,Poetry,584,3.395,Mid-range,5.29,Medium
Life's Little Instruction Book,3.7,975,160,Biography,3,0.019,Premium,2.89,Low
Jesus lived in India,5.0,1154,242,Fiction,2,0.008,Premium,3.63,Low
"India's bismarck, Sardar Vallabhbhai Patel",5.0,1167,281,Politics,1,0.004,Premium,3.49,Low
Caste in India,4.2,654,320,Biography,1640,5.125,Mid-range,5.32,Medium
The British in India,3.9,1257,520,Classic,1316,2.531,Premium,5.05,Medium
The other side of silence,4.5,448,293,History,232,0.792,Mid-range,4.83,Medium
India's immortal comic books,4.0,318,240,Science,968,4.033,Budget,5.01,Medium
Philosophies of India,4.7,1122,687,Religion,1147,1.67,Premium,5.52,High
DramaContemporary,4.8,549,376,Politics,211,0.561,Mid-range,4.99,Medium
The cooking of India,5.0,603,208,Classic,1,0.005,Mid-range,3.49,Low
Ikat textiles of India,3.8,185,155,Poetry,1423,9.181,Budget,5.01,Medium
Ancient India,3.6,1374,168,Poetry,2010,11.964,Premium,5.0,Medium
The making of India,4.2,1388,448,Poetry,1124,2.509,Premium,5.19,Medium
India&apos;s Most Fearless 3,4.8,622,167,Classic,724,4.335,Mid-range,5.43,Medium
At the Argentinean billionaire's bidding,3.0,1203,452,History,1,0.002,Premium,2.19,Low
Incarnations,3.4,560,528,History,568,1.076,Mid-range,4.43,Low
Expert IELTS 6 Student's Resource Book with Key,4.2,1113,179,Fiction,1881,10.508,Premium,5.37,Medium
"The art and architecture of India: Buddhist, Hindu, Jain",4.5,729,288,Science,2,0.007,Mid-range,3.31,Low
Victimology in India,4.3,351,202,Fiction,173,0.856,Budget,4.6,Low
Once a Mouse,4.0,117,32,Science,3,0.094,Budget,3.09,Low
India - food and cooking,4.5,1379,256,Science,1685,6.582,Premium,5.53,High
Medieval India,3.3,1368,293,Biography,590,2.014,Premium,4.38,Low
The Mughal World,4.4,1276,420,History,1804,4.295,Premium,5.48,Medium
In Times of Peril a Tale of India,4.8,599,268,History,2307,8.608,Mid-range,5.83,High
A text book of matrices,3.7,557,289,Poetry,3,0.01,Mid-range,2.89,Low
Golden India,3.4,214,84,Philosophy,2441,29.06,Budget,4.94,Medium
"Travels in India, with an introd. [and] a short memoir of the author &c",3.5,852,500,Self-Help,824,1.648,Mid-range,4.63,Low
"A History of India, Vol. One",4.9,868,384,History,818,2.13,Mid-range,5.53,High
Out of India,3.4,546,201,Biography,630,3.134,Mid-range,4.47,Low
Chandra Bipin,4.7,452,600,Fiction,1826,3.043,Mid-range,5.68,High
The Honourable Company,4.0,724,488,Biography,162,0.332,Mid-range,4.38,Low
The tribes and castes of the Central Provinces of India,3.5,640,1388,Poetry,291,0.21,Mid-range,4.26,Low
Regional Planning in India,4.7,421,290,Religion,1575,5.431,Mid-range,5.63,High
Manual of election law,3.9,325,271,Religion,2493,9.199,Budget,5.27,Medium
Penguin India Bharat,4.0,460,743,History,2113,2.844,Mid-range,5.28,Medium
"TAPOBHUMI NARMADA (Uttartat, Akhanda, Book 1 - 5) , TAPOBHUMI NARMADA (Daikkhantat, Book 6) , TAPOBHUMI NARMADA (Daikkhantat, Book 7) , TAPOBHUMI NARMADA (Daikkhantat, Book 8)",4.5,933,210,Classic,4,0.019,Premium,3.49,Low
India (True Books-Geography: Countries),3.7,211,48,Religion,2162,45.042,Budget,5.09,Medium
River of smoke,4.2,311,522,Politics,2131,4.082,Budget,5.41,Medium
Elephant dance,3.3,1356,40,Poetry,2480,62.0,Premium,4.88,Medium
People Of India,3.8,1047,348,Biography,478,1.374,Premium,4.63,Low
I Is for India,4.9,258,32,Fiction,1758,54.938,Budget,5.8,High
Modern Islam in India,3.5,671,396,Self-Help,1452,3.667,Mid-range,4.82,Medium
The art of India,4.3,1447,231,Philosophy,525,2.273,Premium,4.99,Medium
The Goa inquisition,3.7,1216,305,Poetry,1729,5.669,Premium,5.01,Medium
India's Special Forces,4.5,1371,174,Science,1116,6.414,Premium,5.38,Medium
Girl in the Lake,5.0,769,209,Religion,1,0.005,Mid-range,3.49,Low
War of Lanka,4.5,1264,500,Self-Help,2,0.004,Premium,3.31,Low
"Nainital, India",3.3,1010,741,Philosophy,103,0.139,Premium,3.77,Low
Fall from India Place,4.9,1122,388,History,78,0.201,Premium,4.71,Low
The religions of India,3.9,503,336,History,1064,3.167,Mid-range,4.97,Medium
Clive of India,3.5,503,377,Biography,1501,3.981,Mid-range,4.84,Medium
Mughal India,3.1,700,150,Biography,2224,14.827,Mid-range,4.71,Low
Advanced study in the history of medieval India,5.0,1356,849,History,1,0.001,Premium,3.49,Low
India in the Persianate Age,3.3,292,512,Philosophy,1372,2.68,Budget,4.67,Low
India 2020,4.0,1222,344,Philosophy,1616,4.698,Premium,5.19,Medium
Hindu literature,3.7,1236,410,Fiction,595,1.451,Premium,4.64,Low
Principles and digest of the law of evidence,4.7,1404,516,Politics,699,1.355,Premium,5.35,Medium
The monsoon war,4.7,1099,528,Philosophy,3,0.006,Premium,3.54,Low
India since Independence,3.9,622,794,Religion,222,0.28,Mid-range,4.43,Low
"VIA GENEVA by Aamir Ali (1967 Softcover 253 pages India Book House ""A fascinating political and social comedy"")",3.5,449,423,Politics,1149,2.716,Mid-range,4.74,Low
The Secret of the Nagas,4.4,415,412,Philosophy,13,0.032,Mid-range,3.78,Low
India's war,5.0,1042,565,History,1,0.002,Premium,3.49,Low
Religion Caste and Politics in India,4.2,1012,701,Religion,337,0.481,Premium,4.77,Low
Grandma's Bag of Stories,4.4,751,571,Fiction,1225,2.145,Mid-range,5.35,Medium
India divided,3.3,734,506,Biography,1658,3.277,Mid-range,4.74,Low
The village gods of South India,3.3,1110,175,Religion,1816,10.377,Premium,4.77,Low
Thug,3.1,692,356,History,425,1.194,Mid-range,4.13,Low
India ABCs,4.5,543,32,Fiction,698,21.812,Mid-range,5.22,Medium
The apostles in India,4.3,720,194,Biography,1290,6.649,Mid-range,5.3,Medium
Land of The Seven Rivers,3.9,1331,334,History,1909,5.716,Premium,5.18,Medium
The story of English in India,4.7,855,233,Fiction,1567,6.725,Mid-range,5.63,High
"Ramayana, a Holy Bible of India",4.2,1399,399,Religion,17,0.043,Premium,3.74,Low
The dance in India,5.0,596,261,Politics,1,0.004,Mid-range,3.49,Low
India's Vegetarian Cooking,4.6,872,176,History,1663,9.449,Mid-range,5.59,High
Midnight's Children,3.9,1420,556,Fiction,38,0.068,Premium,3.82,Low
The rains came,4.2,473,591,Fiction,1379,2.333,Mid-range,5.26,Medium
Slavery Phenomenon : Shedding Light on Its Origins,4.7,283,493,Fiction,1465,2.972,Budget,5.61,High
Text-book of pharmaceutics,3.7,131,1040,Poetry,3,0.003,Budget,2.89,Low
History of Science and Technology in Ancient India,3.4,382,327,History,854,2.612,Budget,4.57,Low
India and its inhabitants,3.2,935,304,Biography,2261,7.438,Premium,4.78,Low
The Real Hoodwives of Detroit 2,3.5,972,480,Fiction,2375,4.948,Premium,5.0,Medium
At home in India,3.1,785,226,History,1688,7.469,Mid-range,4.62,Low
"Royal book of crests of Great Britain & Ireland, Dominion of Canada, India & Australasia",4.1,561,354,Classic,1950,5.508,Mid-range,5.32,Medium
The East Indiamen,4.9,970,176,Self-Help,300,1.705,Premium,5.18,Medium
P.L. Malik's handbook of labour and industrial law,3.1,1083,1296,History,1833,1.414,Premium,4.64,Low
Courting India,3.2,467,480,History,952,1.983,Mid-range,4.48,Low
A history of education in ancient India,3.9,757,140,Science,627,4.479,Mid-range,4.79,Low
The art and architecture of India,4.9,1375,306,History,502,1.641,Premium,5.36,Medium
Queenmaker,3.6,265,377,Biography,1266,3.358,Budget,4.84,Medium
Let us know India,4.0,1099,885,History,1792,2.025,Premium,5.22,Medium
Illuminae,3.6,701,608,Fiction,15,0.025,Mid-range,3.31,Low
Seven Decades of Independent India,3.1,1494,304,History,2184,7.184,Premium,4.71,Low
The soul of India,3.3,1226,431,Poetry,211,0.49,Premium,4.02,Low
History of Modern India,5.0,693,465,History,2037,4.381,Mid-range,5.92,High
Contemporary art in India,4.9,225,225,Philosophy,326,1.449,Budget,5.21,Medium
The Spiritual Heritage of India,3.0,137,374,Religion,551,1.473,Budget,4.16,Low
I Love My Dad,4.9,447,34,Biography,141,4.147,Mid-range,4.92,Medium
Mauryan India,4.3,1336,189,History,611,3.233,Premium,5.04,Medium
Book of South India,4.7,1442,252,Fiction,1495,5.933,Premium,5.61,High
Non-Stop India,3.9,836,269,Fiction,78,0.29,Mid-range,4.06,Low
The Story of India,3.0,833,256,Religion,1,0.004,Mid-range,2.19,Low
Taxmann's Companies Act with SEBI rules/regulations & guidelines & Taxmann's e-Books e-Company law manual,4.0,525,271,Classic,2368,8.738,Mid-range,5.32,Medium
Author catalogue of printed books in Tamil language,4.0,1370,356,Classic,1593,4.475,Premium,5.18,Medium
Panchtantra Ki Prasiddh Kahaniyan,4.3,747,240,Philosophy,1160,4.833,Mid-range,5.26,Medium
Urban sociology in India,3.3,385,542,Classic,1830,3.376,Budget,4.77,Low
Pollyanna,3.9,1354,194,History,22,0.113,Premium,3.63,Low
Musical instruments of India,3.1,419,159,Fiction,1825,11.478,Mid-range,4.64,Low
The Industrial Disputes Act,3.6,611,246,History,418,1.699,Mid-range,4.45,Low
Everybody loves a good drought,5.0,324,470,Fiction,1,0.002,Budget,3.49,Low
Flavors of India,4.4,605,192,Religion,961,5.005,Mid-range,5.26,Medium
Life of India,3.4,1230,539,Science,547,1.015,Premium,4.42,Low
History of the Peloponnesian War,4.7,841,460,Religion,3,0.007,Mid-range,3.54,Low
History of Medieval India,4.3,1454,393,Fiction,2465,6.272,Premium,5.53,High
See India,4.9,1128,101,Classic,1794,17.762,Premium,5.81,High
Learning the tarot,4.3,567,320,Self-Help,3,0.009,Mid-range,3.28,Low
Godmen of India,3.2,1037,346,History,1441,4.165,Premium,4.63,Low
Rebooting India,5.0,864,332,Poetry,1,0.003,Mid-range,3.49,Low
Hand-book to the maps of India,4.3,262,150,Self-Help,1689,11.26,Budget,5.4,Medium
The India Quiz Book,3.9,752,168,Poetry,1570,9.345,Mid-range,5.11,Medium
India in slow motion,4.7,1000,311,Science,455,1.463,Premium,5.2,Medium
Art of India,3.4,907,104,Classic,859,8.26,Premium,4.57,Low
The Book of Chakra Healing,4.4,181,144,History,379,2.632,Budget,4.94,Medium
The Official Cambridge Guide To Ielts Student's Book With Answers With Dvd Rom,4.5,580,827,History,2,0.002,Mid-range,3.31,Low
South Indian music,3.0,615,383,Poetry,2,0.005,Mid-range,2.33,Low
The government of India,4.7,286,291,Politics,1172,4.027,Budget,5.53,High
The book of the wonders of India,4.9,245,123,History,883,7.179,Budget,5.56,High
The government and politics of India,4.4,1105,236,Politics,1670,7.076,Premium,5.46,Medium
The Billionaire Raj,4.0,251,408,Science,1752,4.294,Budget,5.21,Medium
TEMPTATIONS OF THE WEST,4.2,1486,336,Biography,1265,3.765,Premium,5.23,Medium
"India's Hood Unveiled (South India Mysteries Series, Book 1)",4.7,192,640,Biography,2281,3.564,Budget,5.76,High
The end of India,4.1,1154,163,Poetry,935,5.736,Premium,5.06,Medium
Floyd's India,3.1,639,192,Classic,1818,9.469,Mid-range,4.64,Low
Floriculture in India,4.9,748,670,Poetry,2202,3.287,Mid-range,5.88,High
Little Book of India,4.4,701,554,Politics,405,0.731,Mid-range,4.96,Medium
School for Good Mothers,4.0,148,336,Fiction,2,0.006,Budget,2.98,Low
Cities of India,4.4,1381,350,History,1346,3.846,Premium,5.38,Medium
Wellington in India,3.4,640,338,History,1825,5.399,Mid-range,4.84,Medium
The Penguin History of Early India,5.0,255,592,History,1,0.002,Budget,3.49,Low
Billions of Entrepreneurs,4.3,874,360,Biography,1605,4.458,Mid-range,5.38,Medium
The East India Company Book of Tea,3.8,645,64,Self-Help,1232,19.25,Mid-range,4.96,Medium
The song of India,4.3,1360,278,Poetry,1569,5.644,Premium,5.37,Medium
Arrow of the Blue-skinned God,3.2,749,351,Classic,408,1.162,Mid-range,4.18,Low
The Last Atlantis Book You'll Ever Have to Read!,4.3,1491,140,History,723,5.164,Premium,5.1,Medium
Handicrafts of India,5.0,1100,146,Biography,1758,12.041,Premium,5.87,High
Discovery of India,3.1,1180,536,Poetry,883,1.647,Premium,4.39,Low
Ghosts Of India,5.0,274,253,Fiction,1079,4.265,Budget,5.69,High
A class-book of botany,5.0,1337,581,Fiction,1,0.002,Premium,3.49,Low
The aftermath of revolt,3.8,126,368,Politics,98,0.266,Budget,4.08,Low
ULTIMATE BOOK OF ACCOUNTANCY,4.7,1242,850,Classic,1318,1.551,Premium,5.57,High
Ambedkar,4.6,246,167,Biography,1321,7.91,Budget,5.51,High
I Love to Tell the Truth,4.1,967,34,Classic,693,20.382,Premium,4.95,Medium
Taj,4.5,364,371,Fiction,2379,6.412,Budget,5.65,High
Train to India,4.8,357,307,Philosophy,223,0.726,Budget,5.01,Medium
Industrial Sociology in India,3.8,1312,134,Self-Help,1004,7.493,Premium,4.89,Medium
The economic history of India,3.7,926,788,Science,1995,2.532,Premium,5.06,Medium
India remembered,4.3,842,240,Classic,36,0.15,Mid-range,4.06,Low
"Hello, Bastar",4.6,809,202,Politics,495,2.45,Mid-range,5.16,Medium
"I, Phoolan Devi",4.5,1362,492,Philosophy,1036,2.106,Premium,5.36,Medium
India Style,4.6,1450,160,History,229,1.431,Premium,4.89,Medium
The heart of India,3.9,1193,241,Fiction,518,2.149,Premium,4.72,Low
Snakes and ladders,4.6,1148,269,Poetry,448,1.665,Premium,5.13,Medium
English Telegu Standard Dictionary Spoken in Southeastern India,3.2,1279,386,Religion,1349,3.495,Premium,4.6,Low
"Let's play, Mom!",4.1,318,32,Religion,2125,66.406,Budget,5.35,Medium
The golden book of India,3.0,660,584,Biography,1573,2.693,Mid-range,4.53,Low
Reader's Digest Condensed Books--Volume 5 1988,3.6,991,574,Self-Help,1251,2.179,Premium,4.84,Medium
Unlocking Unicorn Secrets,3.7,1317,138,History,1554,11.261,Premium,4.98,Medium
The Wheels The Friendship Race,3.8,1163,32,Classic,1887,58.969,Premium,5.11,Medium
RA' Food 4 Foodies,5.0,696,426,History,1,0.002,Mid-range,3.49,Low
Library of Congress catalog [of] books,4.4,442,590,Philosophy,1896,3.214,Mid-range,5.5,Medium
Gautam Adani,3.8,602,761,Fiction,918,1.206,Mid-range,4.86,Medium
The elephant paradigm,3.9,549,301,Science,1126,3.741,Mid-range,4.99,Medium
South India,3.5,435,251,Politics,1087,4.331,Mid-range,4.72,Low
Two Arabic Travel Books,3.7,103,324,Science,1526,4.71,Budget,4.97,Medium
India briefing,3.5,858,304,Classic,1687,5.549,Mid-range,4.88,Medium
Eco Colour,3.1,616,240,History,512,2.133,Mid-range,4.2,Low
The Story of Civilization I,4.0,1349,1049,Science,3,0.003,Premium,3.09,Low
Idea of India,4.2,1273,304,Politics,624,2.053,Premium,4.98,Medium
The inner world,4.3,337,241,Poetry,967,4.012,Budget,5.2,Medium
Wisdom's daughter,4.2,202,432,Science,313,0.725,Budget,4.74,Low
The Mystic Test Book of the Hindu Occult Chambers,3.9,1298,188,Philosophy,1191,6.335,Premium,5.01,Medium
"India, a regional interpretation",3.8,1109,330,Science,2038,6.176,Premium,5.14,Medium
Raj: the story of British India,4.7,1157,384,Poetry,191,0.497,Premium,4.9,Medium
Handbook of psychology in India,4.0,617,373,Politics,1606,4.306,Mid-range,5.18,Medium
The India collection,4.0,539,555,Politics,550,0.991,Mid-range,4.81,Medium
All India electric rate book,3.1,1408,19,Poetry,1163,61.211,Premium,4.49,Low
